ppt,Gender,Age,Country,Howard,Turnbull,Brown,Shorten,Tunsil,Wilson,Miller,Bullard
1,1,22,USA,10,49,10,31,45,11,35,9
2,1,32,US,10,11,69,10,100,0,0,0
3,2,55,USA,25,25,25,25,15,31,39,15
4,1,25,usa,3,59,3,35,37,0,10,53
5,1,33,USA,30,30,36,4,51,0,0,49
6,1,24,united states,35,17,19,29,12,1,50,37
7,1,21,United States,32,48,12,8,59,0,0,41
8,1,26,USA,30,30,20,20,40,0,0,60
9,1,44,United States,20,29,34,17,50,0,0,50
10,1,31,USA,27,15,34,24,50,0,0,50
11,1,29,United States,25,26,24,25,25,27,25,23
12,1,36,USA,10,60,10,20,70,0,0,30
13,1,20,United States,19,28,19,34,67,0,0,33
14,1,39,USA,25,25,25,25,50,0,0,50
15,2,67,US,25,48,4,23,100,0,0,0
16,1,18,USA,70,10,10,10,30,0,0,70
17,1,54,US,23,24,21,32,82,0,0,18
18,2,47,United States,40,25,20,15,10,20,30,40
19,2,56,United States,70,10,10,10,30,0,0,70
20,1,41,USA,25,25,25,25,14,0,60,26
21,1,26,USA,33,34,0,33,29,0,43,28
22,1,48,United States,40,10,20,30,60,0,0,40
23,1,29,USA,14,46,34,6,97,0,0,3
24,2,37,United States,25,30,25,20,10,25,40,25
25,1,27,usa,34,25,31,10,28,26,24,22
26,1,29,usa,10,10,43,37,10,70,10,10
27,1,28,USA,25,25,25,25,50,0,0,50
28,1,24,United States,25,18,41,16,51,0,0,49
29,2,31,usa,43,18,29,10,22,36,15,27
30,2,50,usa,27,32,23,18,32,23,20,25
31,1,27,USA,0,68,0,32,18,28,50,4
32,1,29,United States,18,27,43,12,32,30,13,25
33,2,33,USA,49,17,21,13,23,34,22,21
34,1,26,United States,19,22,27,32,14,41,20,25
35,1,30,United States,26,3,54,17,10,0,0,90
36,1,25,USA,80,10,0,10,50,0,0,50
37,1,30,USA,33,33,0,34,50,0,0,50
38,2,33,USA,28,33,18,21,15,31,30,24
