ppt,Gender: ,Age:,Tunsil,Wilson,Miller,Bullard,Howard,Turnbull,Brown,Shorten
1,2,18,25,25,25,25,0,60,0,40
2,2,18,25,25,25,25,5,44,13,38
3,2,20,25,25,25,25,0,70,0,30
4,2,19,25,25,25,25,5,40,5,50
5,2,18,16,32,29,23,9,27,28,36
6,2,25,25,25,25,25,0,51,10,39
7,2,34,19,14,23,44,0,54,0,46
8,2,18,10,19,38,33,21,31,10,38
9,2,20,25,25,25,25,0,100,0,0
10,2,19,25,25,25,25,0,60,0,40
11,2,18,25,25,25,25,0,65,0,35
12,2,17,25,25,25,25,0,30,20,50
13,2,19,11,39,20,30,10,40,30,20
14,2,19,25,15,35,25,10,49,16,25
15,2,18,10,53,10,27,1,59,0,40
16,2,18,25,25,25,25,0,48,1,51
17,2,18,34,21,29,16,30,30,10,30
18,1,18,25,24,29,22,30,24,23,23
19,1,18,4,45,28,23,10,60,10,20
20,2,18,15,50,20,15,0,55,0,45
21,2,18,21,31,29,19,0,45,0,55
22,2,18,24,28,39,9,6,44,29,21
23,2,19,4,36,1,59,25,25,25,25
24,2,18,26,29,40,5,4,47,16,33
25,1,19,10,10,10,70,10,70,10,10
26,2,18,25,25,25,25,5,45,5,45
27,2,18,25,18,18,39,3,51,7,39
28,1,18,21,40,35,4,0,48,10,42
29,2,18,17,27,26,30,28,19,21,32
30,2,18,25,25,25,25,0,50,0,50
31,2,17,22,4,10,64,24,40,31,5
32,2,19,25,25,25,25,0,55,0,45
33,2,17,20,40,10,30,9,40,19,32
34,2,18,25,25,25,25,0,56,0,44
35,2,20,25,25,25,25,0,50,10,40
36,3,18,25,25,25,25,0,52,0,48
37,2,17,23,23,32,22,3,39,19,39
38,2,19,10,30,30,30,0,40,10,50
39,2,19,25,25,25,25,0,50,0,50
40,2,18,27,20,35,18,11,47,16,26
41,1,18,20,19,19,42,25,25,25,25
42,1,20,25,25,25,25,25,25,25,25
